aspect term	polarity	text	category
;null;null;null	 positive positive positive	I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer.	 laptop laptop laptop
;null;null;null	 positive positive positive	Also it is very good for college students who just need a reliable, easy to use computer.	 laptop laptop laptop
;null	 positive	This laptop does everything I need it to very well.	 laptop
;price;null	 positive positive	The best thing about this laptop is the price along with some of the newer features.	 price laptop
;screen;keyboard	 positive positive	The screen is bright and the keyboard is nice;	 display keyboard
;null;null	 positive positive	I find myself using the 10-key more than I thought I would.	 keyboard keyboard
;battery	 positive	Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos.	 battery
;null	 positive	For those that care about noise this thing doesn't really make any;	 laptop
;processor	 positive	the i3 processor doesn't seem to run hot and the fan rarely turns on.	 processor
;null;software	 negative negative	I took off a star because the machine has a lot of junk software on it.	 laptop software
;null	 negative	I wish Toshiba would allow their customers to select an option that only boots the OS at setup and removes all the unnecessary stuff.	 laptop
;software;null	 negative neutral	Once I removed all the software the laptop loads in 15-20 seconds.	 software laptop
;null	 negative	This is not a serious gaming laptop or a serious media machine;	 laptop
;null;video card	 neutral neutral	my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.	 laptop graphics
;null	 positive	Overall I am very satisfied with the purchase.	 laptop
;null;null;null	 positive neutral positive	Great, quick laptop for the money.	 laptop price laptop
;size;null	 positive positive	Right size and weight for portability.	 laptop weight
;battery	 negative	Battery life needs more life.	 battery
;battery	 negative	Battery is not upgradable to a longer life battery.	 laptop
;null	 positive	I love everything about it.	 laptop
;battery	 negative	The only downfall is the battery only last 1.5-2.0 hrs when not plugged in.	 battery
;battery	 negative	I would like at least a 4 hr. battery life.	 battery
;null	 positive	Otherwise, all other features are a 1	 laptop
;null	 positive	This mac is great!	 laptop
;null;battery;pc	 positive positive positive	lightweight, long battery life, excellent transition from PC;	 laptop battery laptop
;null	 negative	THIS HAS BEEN NOTHING BUT A HEADACHE SINCE WE PURCHASED IT.	 laptop
;null	 negative	I will NEVER buy (Refurbished) again, I don't cae how cheap it is.	 laptop
;null	 negative	Just don't waste your time and money on this.	 laptop
;null	 negative	I tried giving it 0 stars but I had to choose at least one, but IMO NO STARS	 laptop
;hp	 negative	Summary: Dont buy HP.	 laptop
;null	 negative	If you buy, pray you dont have major prolems.	 laptop
;null	 negative	Runs Hot	 laptop
;apple;null	 negative negative	I thought we were paying for quality in our decision to buy an Apple product.	 laptop laptop
;monitor	 negative	After a little more than a year of owning my MacBook Pro, the monitor has completely died.	 display
;macbooks	 positive	This purchase opened me to the world of Macbooks, and I am impressed with the intuition of the design, the beauty of the product, and the excellent technological advances associated with it.	 laptop
;null	 positive	Then 2 of my nephews were going into music and both fell in love with the MacBook Pro.	 laptop
;null	 positive	Now they are believers in the product.	 laptop
;null;screen;null	 positive positive positive	It is easy to use, has great screen quality, and every so light weight.	 laptop display laptop
;null	 positive	This little netbook is helping me get work done!	 laptop
;null	 positive	I homeschool my kids and with this netbook next to my desk we get to teaching and illustrating without skipping a beat.	 laptop
;features;use	 positive positive	I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.	 laptop laptop
;battery life;response;internet focused activity;null	 positive positive positive positive	I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;	 battery laptop laptop laptop
;build quality;null	 positive positive	The overall build quality of the unit is excellent and she'd recommend it to anyone else looking for a netbook.	 laptop laptop
;game	 neutral	If you're looking for something to fly through those massive spreadsheets or play a graphics-intensive game, you'd be better off getting a machine aimed at that segment of the market.	 laptop
;mac osx;operating system	 positive positive	previous laptops were pc's, still have them, but the mac osx is a clean and smooth operating system.	 os os
;battery life;battery life	 neutral positive	still testing the battery life as i thought it would be better, but am very happy with the upgrade.	 battery laptop
;null;null	 positive positive	Probably as good as you can get in a netbook, does everything I ask for and has some very good unexpected pluses.	 laptop laptop
;null	 positive	Has met or exceeded my needs for a compact travel device.	 weight
;null	 positive	So far, so good!	 laptop
;battery life;performance;memory	 positive positive neutral	I've been impressed with the battery life and the performance for such a small amount of memory.	 battery laptop memory
;windows 7 starter	 negative	I don't understand why only Windows 7 Starter is included.	 os
;performance	 positive	Strong performance in this device makes use of fun and a strong sense of the era of speed	 laptop
;null;null	 positive positive	This device serves all modern requirements is a very strong game and is very useful for designers.	 laptop laptop
;force;durability	 positive positive	Enjoy that Toshib force and durability unparalleled	 laptop laptop
;battery	 negative	Needs longer lasting battery, More than 1 to 2 Hrs.	 battery
;mouse cable;mouse	 neutral negative	Needs Power and Mouse Cable to Plug in back instead of side, In the way of operating a mouse in small area.	 mouse laptop
;null	 positive	For the use it was purchased for it is a good Laptop.	 laptop
;use;null;transport	 positive positive positive	Comfterbale to use light easy to transport.	 laptop laptop weight
;null;null;toshiba	 positive positive positive	"I love this product because it is Toshiba and its 15.6""."	 laptop laptop laptop
;camera	 neutral	It has no camera but, I can always buy and install one easy.	 laptop
;usb connect	 negative	I had a USB connect but, i can't use it because it is not compatible.	 laptop
;null	 negative	That's the downside for me.	 laptop
;null	 positive	But, I would recommend this product.	 laptop
;null;null	 positive neutral	Satisfy what I paid for it.	 laptop price
;monitor;performed	 positive positive	Good monitor and performed well.	 display laptop
;external speaker	 positive	I am using the external speaker- sound is good.	 laptop
;programs	 positive	Best thing is I can use existing 32 bit old programs.	 laptop
;null	 positive	I recommend for word processing and internet users.	 laptop
;games	 positive	The games included are very good games.	 software
;null	 positive	I would highly recommend this one to my friends	 laptop
;performance;price	 positive positive	I bought this laptop because of the performance to price ratio.	 laptop price
;null	 positive	It works great for general internet use, Microsoft Office apps, home bookkeeping, etc.	 laptop
;null;null	 neutral positive	It doesn't have a lot of frills, but I didn't need any, and being able to buy what I needed, and not more than I needed was very important.	 laptop laptop
;design	 positive	This computer I used daily nice compact design.	 laptop
;speed	 positive	Excellent speed for processing data.	 laptop
;null	 positive	And if you are a game player it works with World Of Warcraft wonderfully.	 laptop
;null	 positive	All in all great item highly recommend it.	 laptop
;null	 positive	i would have to say that overall its great!	 laptop
;trial software;battery life;webcam;null	 negative negative negative positive	Aside from the trial software and the short battery life, lack of a webcam, its great.	 software battery laptop laptop
;null;visual	 positive positive	Fast, great visual!	 laptop display
;numeric pad	 negative	Oh yea, has no numeric pad on the side.	 keyboard
;null;null	 positive neutral	2nd Best computer in the world  only one way this computer might become the best is that it needs to upgrade patches  to make less easier for people to hack into	 laptop laptop
;screen;vga port	 positive positive	My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.	 laptop laptop
;wifi	 positive	Great wifi too.	 laptop
;screen;clicking buttons	 negative neutral	The screen is a little glary, and I hated the clicking buttons, but I got used to them.	 display mouse
;null;null	 positive neutral	Overall for the money this is a good deal.	 laptop price
;keyboard	 negative	There is no number pad to the right of the keyboard which is a bummer.	 keyboard
;speakers;speakers	 negative negative	The speakers are terrible and are probably the cheapest ones I have ever seen in a laptop so if your planning to listen to music I suggest you get something better.	 laptop laptop
;keyboard;mouse command buttons	 neutral negative	while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.	 keyboard laptop
;extra features;windows 7 home premium	 positive positive	I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.	 laptop os
;battery life;battery life	 positive positive	The battery life has not decreased since I bought it, so i'm thrilled with that.	 battery battery
;design;my toshiba feature	 positive positive	I also love the design, the looks, the feel, and the my toshiba feature is wonderfull.	 laptop laptop
;null	 positive	I would easly reccomend this laptop to a friend.	 laptop
;null	 negative	Couldnt not use it.	 laptop
;recovery disk	 negative	Tried to make a recovery disk wouldnt get passed the first recovery disk.	 laptop
;software	 negative	defective software.	 software
;null	 negative	returned it to walmart.	 laptop
;volume buttons	 negative	I would like to have volume buttons rather than the adjustment that is on the front.	 laptop
;touchpad;mouse pointer	 negative negative	I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.	 mouse mouse
;toshiba online help	 positive	I went to Toshiba online help and found some suggestions to fix it.	 service
;null	 positive	One of them seems to have worked.	 service
;value;null	 positive neutral	Its a good laptop for its value.	 laptop price
;use	 positive	Registration/1st use is easy.	 laptop
;features;font	 negative negative	Features like the font are very block-like and old school.	 laptop laptop
;features	 negative	Would like more trendy, high tech features.	 laptop
;start menu	 negative	The start menu is not the easiest thing to navigate due to the stacking.	 os
;keys	 negative	Keys stick periodically and I havent had the laptop for 45 days yet.	 keyboard
;null	 positive	Came fully loaded - good.	 laptop
;null	 positive	Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously.	 laptop
;quality;performance;price	 positive positive neutral	I'm really impressed with the quality and performance for the price of the computer.	 laptop laptop price
;graphics;internet interfaces	 positive positive	Graphics are clean and sharp, internet interfaces are seamless.	 graphics laptop
;null;ram	 negative neutral	Only issue is that it is a little slow, and I'm fixing that by adding more RAM.	 laptop memory
;sound card	 negative	Sound card is limited though.	 laptop
;null;null	 positive positive	The laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight.	 laptop weight
;null	 positive	It is small enough to fit in one of my purses!	 laptop
;windows 7;windows 7	 positive neutral	Windows 7 Starter is terrific (no you can't change the background) but I don't need to, I use it just for school work.	 os os
;battery;null	 positive positive	The battery life is amazing, the versitility is outstanding.	 battery laptop
;null	 positive	The ease of set up was terrific.	 laptop
;null	 positive	I was even able to uninstall McAffe and install one of my Symantec licenses with a no issues whatsoever.	 laptop
;mousepad	 negative	I had to adjust my mousepad sensitivity, because it is very sensitive.	 mouse
;keyboard	 positive	Keyboard is great, very quiet for all the typing that I do.	 keyboard
;screen	 positive	Screen is crystal clear, yes it's small - but it's a netbook!	 display
;null;size	 positive positive	Awesome laptop and the perfect size to carry around in college.	 laptop weight
;battery	 positive	I couldn't believe how long the battery lasted on a single charge.	 battery
;windows 7	 positive	I loaded windows 7 via Bootcamp and it works flawlessly!	 os
;null	 positive	Simply amazing computer!!	 laptop
;null;null	 positive negative	I really like the Mac 15.4in. Notebook, but its very pricey.	 laptop price
;graphics;null;programs	 positive positive positive	Love the graphics, awesome programs (including Garageband), and really cool default background.	 graphics laptop software
;null	 negative	But, like I said before, the only reason I don't currently have a Mac laptop is because all of their laptops are too pricey.	 price
;null;price	 positive neutral	Waiting for the i7 was well worth it, great value for the price.	 laptop price
;hd;graphics card	 positive positive	Bigger HD, better graphics card, and a bid HD.	 harddisk graphics
;null	 positive	There is nothing to complain about the system.	 laptop
;null	 positive	I have used PC's and converting to this MacBook Pro was easy.	 laptop
;null	 positive	If you have the money I suggest going for the i7.	 laptop
;null	 positive	I occassionaly use it for work via VPN and it has not given me any problems.	 laptop
;screen;keyboard;null	 positive positive positive	The screen is nice and the images comes very clear, the keyboard and the fit just feels right.	 display keyboard laptop
;null	 positive	I consider myself an average user and this computer serves my need.	 laptop
;price	 positive	The price is another driving influence that made me purchase this laptop.	 price
;features;budget	 positive positive	I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.	 laptop price
;null	 positive	I normally dont participate in reviews/surveys but this laptop has not given me any problems and hope to share my thoughts...	 laptop
;null	 positive	another satisfied customer.	 laptop
;null	 positive	The apple MacBook is the best investment that I have ever made.	 laptop
;null	 positive	The newer MacBook that I have purchased is one of the best computers.	 laptop
;null	 positive	I am a college student and it has been very useful.	 laptop
;features	 positive	It has all the features that are necessary for college and if not they are able to be added onto the computer.	 laptop
;memory;battery life	 positive positive	It has a lot of memory and a great battery life.	 memory battery
;null;charges	 positive positive	It is sleek and lightweight and charges quickly when needed.	 laptop battery
;color;carry	 positive positive	Its white color is stylish for college students and easy to take to carry and take to classes.	 laptop weight
;iphoto	 positive	Iphoto is great for adding pictures right to facebook and other social networking sites.	 software
;internet capabilities	 positive	The internet capabilities are also very strong and picks up signals very easily.	 laptop
;null	 positive	I have never had to shut down the computer unexpectedly and the computer has never froze on me.	 laptop
;screen;keyboard	 positive positive	The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.	 display keyboard
;null	 positive	Overall, this is a wonderful computer and definitly worth the purchase!	 laptop
;graphics	 positive	The graphics are stunning.	 graphics
;null	 positive	It's wonderful for computer gaming.	 laptop
;null	 positive	I would definitely suggest this laptop!	 laptop
;null	 positive	It is very user friendly and not hard to figure out at all.	 laptop
;null;programs;ilife;iphotos	 positive positive positive positive	It has many great programs, such as ILife, iPhotos and others.	 laptop software software software
;ilife	 positive	iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.	 software
;pages;keynotes	 positive positive	In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.	 software software
;null	 positive	This comes in very handy for me as an educator.	 software
;iphotos	 positive	iPhotos is an excellent program for storing and organizing photos.	 software
;null	 positive	It allows you to automatically upload photos to your Facebook account with one click.	 software
;software	 positive	In addition, there is photo detection software that will allow you to group all the photos together based upon the people in the picture.	 software
;null	 positive	If you are looking for something reliable, this is the laptop for you.	 laptop
;null	 negative	This computer was awful!	 laptop
;dell;null;null	 negative negative negative	I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.	 laptop laptop service
;null;null	 negative negative	The computer first started malfunctioning 3 months after purchasing it.	 laptop laptop
;internet signals	 negative	It does not keep internet signals no matter where you bring it.	 laptop
;system	 negative	The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.	 os
;null	 negative	When calling Dell for help, reurn, or a new computer they were not useful and left it up to myself to figure out what to do with it.	 service
;null	 negative	One year of trying to fix the computer by myself, with help of friends, and even help from computer experts I have given up on trying to fix it.	 laptop
;null	 negative	This computer was awful, I would never recomend it to another person.	 laptop
;null	 negative	Those moments in thime where you want to throw something against the wall?	 laptop
;null	 negative	Yeah, I wanted to throw that lap top out the window and light it on fire.	 laptop
;null	 negative	That's how frustrating it was.	 laptop
;desktop	 positive	It is so simple to use, I use it more than my desktop.	 laptop
;null;null	 positive positive	It is well worth the money it cost, Very good investment.	 laptop price
;null	 positive	The new Macbook Pro 15 inch i7 is nothing short of amazing.	 laptop
;null	 positive	The speed is incredible and I am more than satisfied.	 laptop
;null	 negative	THIS LAPTOP WAS BAD FROM THE FIRST DAY OF USE----BROUGHT IT BACK TO STORE FOR RETURN OF MONEY.	 laptop
;toshiba	 negative	NOW AM VERY APREHENSIVE ABOUT TOSHIBA LAPTOPS.	 laptop
;null	 negative	WILL NOT EVERY BUY ANOTHER--------LOU	 laptop
;null;null	 positive neutral	This is a great value for the money.	 laptop price
;null	 positive	This is a great computer.	 laptop
;null	 positive	We haven't had any problems with it at all.	 laptop
;null	 negative	The body is a bit cheaply made so it will be interesting to see how long it holds up.	 laptop
;null;null	 positive positive	Overall though, for the money spent it's a great deal.	 laptop price
;mac book pro	 positive	But let me tell you, the mac book pro is so professional.	 laptop
;null	 positive	Its very nice and once you learn the features you will be so happy to have such a sophisticated computer.	 laptop
;screen	 positive	For example, when my husband turns the light out while I'm on the computer. the screen brightness automatically adjusts.	 display
;keyboard	 positive	It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.	 keyboard
;null	 positive	Oh, it is such a great piece of equipment.	 laptop
;programs	 neutral	Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.	 software
;null;size	 positive positive	I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.	 laptop weight
;battery	 positive	Very long-life battery (up to 10-11 hours depending on how you configure power level settings).	 battery
;null;windows 7	 neutral positive	I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.	 laptop laptop
;touchpad	 positive	I play a lot of casual games online, and the touchpad is very responsive.	 mouse
;null;null;null	 positive positive positive	I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.	 weight laptop laptop
;screen	 negative	The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.	 display
;software	 neutral	Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.	 software
;design;os;null	 positive positive positive	Everything from the design to the OS is simple and to the point.	 laptop os laptop
;null	 positive	LOVE IT LOVE IT LOVE IT!	 laptop
;null	 positive	It really is perfect for work and play.	 laptop
;null	 positive	I am able to play 720p and 1080p media files just fine with it.	 laptop
;null;battery	 positive positive	Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.	 laptop battery
;speakers	 negative	The only thing that isn't perfect about this netbook is the speakers, they are not loud at all but I expected that.	 laptop
;null;ram	 positive neutral	I upgraded it's RAM to 2GB, I am very happy with it.	 laptop memory
;preloaded software	 positive	lots of preloaded software.	 laptop
;ram;null	 negative negative	the only problem is that i had to add 1 gb RAM, the computer was kinda slow.	 memory laptop
;tosiba	 positive	tosiba has a good reputation, my llast computer was an acer.	 laptop
;null	 positive	this is starting off good.	 laptop
;null	 positive	What a great little laptop.	 laptop
;null	 positive	Maybe not the cutting edge (Satellite L455D) but it is a workhorse.	 laptop
;null	 positive	I bought it to use in college and it is perfect.	 laptop
;null	 positive	I dual boot with Linux and that other security-prone OS and it performs flawlessly.	 laptop
;null;toshiba	 positive positive	I made a perfect decision when I bought the Toshiba!	 laptop laptop
;product;null	 positive neutral	Excellent product for the money.	 laptop price
;null;null	 positive positive	No problems, no lock ups, no disappointments.	 laptop laptop
;null;null	 neutral neutral	Not super fancy, but not super expensive either.	 laptop price
;null	 positive	Highly recommend for daily use.	 laptop
;null;repair depot	 positive negative	The Computer itself is a good product but the repair depot stinks.	 laptop service
;null	 negative	I have had to send in my laptop three times to get it fixed.	 service
;null	 negative	Toshiba does not send any one out unless you have paid extra to have the on site repair done.	 service
;null	 negative	I would tell the technician I knew exactly what was wrong with it but they did not listen and I had to go through a bunch of junk to get them to tell me I needed to send the computer in.	 service
;keyboard	 negative	This computer that I have has had issues with the keyboard where it lost half the keyboard functions.	 keyboard
;null	 negative	As well as having the plug in the computer come loose.	 hardware
;null	 negative	So having the AC plug go out on me and get lose or I could actually here it inside my computer on two of the three times is not good.	 hardware
;null	 negative	It still seems to be a little lose now but so far seems to be hanging in there.	 hardware
;mac book pro	 positive	The Mac Book Pro performs flawlessly.	 laptop
;null	 positive	Never had a single problem, and don't have to worry about viruses.	 laptop
;null	 positive	While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.	 laptop
;null	 positive	Worth the investment and truly a fine piece of equipment.	 laptop
;null;null	 positive positive	Right out of the box, this little netbook did everything I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously).	 laptop laptop
;null;webcam;skype	 positive positive positive	It even has a great webcam, and Skype works very well.	 laptop laptop software
;webcam;value	 positive positive	The fact that you can spend over $100 on just a webcam underscores the value of this machine.	 laptop laptop
;windows 7 starter	 neutral	The Windows 7 Starter is, in my opinion, a great way to think about using your netbook: basics, basics, basics.	 os
;null;price;null	 negative positive positive	I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.	 os price laptop
;null	 positive	This netbook is a perfect supplementary computer to another laptop or desktop (my wife and I have another laptop), or if you are a user who uses the computer for simple tasks.	 laptop
;portability;battery life	 positive positive	I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).	 weight battery
;null;asus	 positive positive	ASUS has done an outstanding job of evolving their netbooks, and I would recommend this to anyone who both understands their needs and how netbooks can fit them.	 laptop laptop
;ram	 neutral	little short on RAM but you get what you pay for.	 memory
;hinge design;null	 negative negative	the hinge design forced you to place various connections all around the computer, left right and front.	 laptop laptop
;mic jack;touch-pad;null;null	 negative negative negative negative	the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.	 hardware mouse laptop laptop
;cords;null	 negative negative	Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.	 laptop laptop
;windows 7;null;toshiba	 positive negative negative	I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.	 os laptop laptop
;null;toshiba warranty	 positive negative	I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.	 laptop service
;null;null	 positive negative	The computer was shipped to their repair depot  on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned.	 laptop service
;null	 negative	They were totally unconcerned that the computer was not correctly repaired in the first place.	 service
;null	 negative	The computer is currently in West Verginia doe to the method of shipping choosen by Toshiba.	 laptop
;null	 negative	The computer could have been shipped by Priority Mail through the USPS for the same cost and arrived by Noon on Tue.	 laptop
;null	 negative	Instead it is sitting in West Verginia waiting for UPS to take two days to send Me a box and Two days for them to ship the computer some 691 miles by air? to Louisville Ky.	 laptop
;null	 negative	And Toshiba is totally unconcerned.	 service
;null	 negative	The reaction of Toshiba is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter.	 service
;null	 negative	We don't Mind and You don't Matter.	 service
;null;toshiba	 negative negative	I would not recommend the purchase of this modle of Toshiba Computer or any Toshiba product for that matter.	 laptop laptop
;null	 negative	When it come time for warranty service to Toshiba you don't matter.	 service
;windows vista;null	 negative negative	Windows Vista makes this computer almost unusable for online service.	 os laptop
;null	 negative	I've tried going back to XL but there still problems.	 laptop
;service	 negative	The technical service for dell is so 3rd world it might as well not even bother.	 service
;null	 negative	Just a bunch of idiots who's English as a 5th language is forced at best.	 service
;dell	 negative	I'm all for saving money but Dell needs to step it up.	 laptop
;price	 positive	Good price.	 price
;null	 neutral	Basic computer.	 laptop
;null	 neutral	Didn't work when shipped from Walmart.com but went into a store and exchanged for a working laptop (same make/model).	 laptop
;null	 positive	It has worked fine.	 laptop
;null	 positive	Handles all my basic media needs easily.	 laptop
;display;null	 positive positive	Can listen to my music and watch my videos with ease and with a great display.	 display laptop
;null;null	 positive positive	It is speedy when connected wirelessly to any network regardless if the connection is weak or not.	 laptop laptop
;product	 positive	It's a great prodcut to handle basic computing needs.	 laptop
;null	 positive	It has served my needs quite nicely for the most part.	 laptop
;ram;null	 positive positive	The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.	 memory laptop
;null	 negative	My one complaint with this laptop is that I've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in.	 hardware
;quality;price range	 negative neutral	This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.	 hardware price
;null;gaming	 positive neutral	Other than that, I would recommend this to someone in need of a cheap laptop with semi-decent gaming capabilities.	 price laptop
;null	 positive	Let me start with the good:So awesome.	 laptop
;os;processor;null	 positive positive positive	Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.	 os processor laptop
;null	 positive	This one has had the same effect.	 laptop
;os	 positive	The improvements to the OS have been relatively gradual, but substantive.	 os
;null;null	 positive positive	The Unibody construction is solid, sleek and beautiful.	 laptop laptop
;null;null	 positive positive	It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.	 laptop laptop
;screen	 negative	For the not so good, I got the stock screen - which is VERY glossy.	 display
;null;null	 positive positive	It's still beautiful and has better color reproduction than I could ever expect from a notebook.	 display display
;display	 neutral	The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.	 display
;battery life	 negative	The statement of 7 hour battery life is not just mere exaggeration -- it's a lie.	 battery
;null	 negative	I challenge anyone to show proof that through anywhere near normal use can get more than 2.5 hrs out of it.	 battery
;battery	 negative	The first full charge of this battery got me only about 2 full hours.	 battery
;battery	 negative	Enabling the battery timer is useless.	 battery
;null	 negative	"The ""Time remaining"" goes from 4 hours plus to less than 2 hours over the span of about 10 minutes."	 battery
;battery	 negative	It's so bad that I'm thinking I only got half a battery or something.	 battery
;battery	 negative	I know what 7 hrs of battery looks like.	 battery
;null	 negative	My only other complaint is that it gets really hot.:-)	 laptop
;battery;null	 negative positive	If you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.	 battery laptop
;null;processors;edge;edges	 positive neutral negative negative	The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).	 laptop processor laptop laptop
;performing	 positive	Other than that its a great performing machine and well meets all my needs and more.	 laptop
;design;apple	 positive positive	Great product by Apple with the new great looking design.	 laptop laptop
;hard drive;mother board;dvd drive;null;null	 negative negative negative negative negative	"I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another ""HP/Compaq"" piece of crap."	 harddisk hardware hardware service laptop
;null;hardware	 negative negative	It was slow, locked up, and also had hardware replaced after only 2 months!	 laptop hardware
;null	 negative	So, buyers beware!	 laptop
;null	 positive	It is made better, thicker, and all out tough!	 laptop
;null	 positive	I droped this once from thetable when my baby girl grabed me one day and IT is still working with NO issues!	 laptop
;screen;null	 positive positive	I love the easy to see screen, and It works well for work, persoal or just play.	 display laptop
;null;toshiba	 positive positive	I tell everyone I see out looking to get this or another Toshiba.	 laptop laptop
;toshiba	 positive	My friends or children use that when they need to borrow the Net =) When I out grow this Meaning when its old and my oldest child is ready for one she will get this one ANd I will be buying only TOSHIBA!	 laptop
;lap top;lap top	 positive neutral	I just love this lap top, I just wish it were all silver or they had all black.	 laptop laptop
;null	 negative	That is my only complaint!	 laptop
;null;price	 positive positive	LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!	 laptop price
;null;null	 positive positive	WOULD PAY MORE FOR IT IF I HAD TOO!	 laptop price
;null	 positive	I recently purchased the mini and absolutely love it!	 laptop
;null;null	 positive positive	It meets all my needs for work and pleasure while traveling.	 laptop weight
;null	 positive	I am totally satisfied with my little toshie!	 laptop
;null	 positive	From the moment I opened the box to the present it has been a great joy.	 laptop
;null;null	 positive positive	It is always reliable, never bugged and responds well.	 laptop laptop
;operating system;software	 positive positive	I love the operating system and the preloaded software.	 os software
;null	 positive	This machine delivers.	 laptop
;null	 positive	It is also extremely pleasing to the eyes without looking too much like an Alienware gaming machine.	 laptop
;null	 negative	It is a bit heavy.	 laptop
;null	 negative	It would be a load on long trips where a lot of walking is required.	 weight
;null	 negative	Had some trouble finding a case that it would fit in.	 laptop
;null	 negative	This is an over-sized, 18-inch laptop.	 laptop
;null	 negative	It wouldn't fit in most 17-inch bags.	 laptop
;keyboard	 negative	I was disappointed when I realized that the keyboard doesn't light up on this model.	 keyboard
;null	 negative	It also does not have bluetooth.	 laptop
;null	 negative	You'll need to upgrade and pay a little more for them.	 laptop
;null	 negative	I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard.	 laptop
;null	 positive	Overall, still a very nice machine.	 laptop
;null	 positive	Boots up fast and runs great!	 laptop
;null	 positive	I'm pleased.	 laptop
;null	 positive	The acer one compuer is a great computer.	 laptop
;null;null	 positive neutral	I didn't want to buy a generic brand computer but it is really nice.	 laptop laptop
;null;null	 positive positive	Its fast, has High definition quality in the videos.	 laptop display
;null	 positive	The pictures are clear as can be.	 display
;null;acer	 positive positive	If I had to buy another computer, I would most definetly buy an acer one computer.	 laptop laptop
;null	 positive	Heck, if I had enough ' money, I would but it as a gift for someone.	 laptop
;null	 positive	Im glad that it has such great features in it.	 laptop
;null	 positive	It also came with a built it web cam which is great because I can see an communicate with my family members back home.	 laptop
;null	 positive	Clear picture on it and everything.	 laptop
;null	 positive	The one down side to it is that when I play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.	 laptop
