aspect term	category	polarity	text
;lens cap	 general	 negative	also , the lens cap design is flawed .
;camera	 general	 positive	this is my first digital camera , and i am very pleased with it .
;camera	 general	 positive	this camera has none of these flaws and will be something you ' ll use all the time .
;use	 usability	 positive	the camera is very easy to use , in fact on a recent trip this past week i was asked to take a picture of a vacationing elderly group .
;features;null	 general weight	 positive positive	it ' s slightly lighter than the g2 and packed with even more features .
;camera	 general	 positive	all - in - all , i believe this is arguably the best non - slr digital camera on the market .
;grain	 picture	 negative	the grain was terrible .
;made	 general	 negative	it is made of plastic .
;null	 picture	 positive	they look fantastic .
;photo quality;prints	 picture general	 positive positive	i ' m amazed at the photo quality -- prints are indistinguishable from 35mm prints .
;use	 usability	 positive	i am impressed with how easy this camera is to use .
;camera	 general	 positive	i ' ve only had it a week , but so far , everything about this camera is making me happy .
;null;resolution;camera	 size picture general	 positive positive positive	if you ' re looking for a small , compact , super resolution digital camera , you can end your search with the nikon 4300 !
;zooming lever	 general	 negative	the zooming lever is shaky , i hope it does not operate mechanically , otherwise you ' ll feel uneasy .
;lcd	 general	 negative	the only things i have found that i havent liked is that the lcd is hard to read in daylight but everyone elses is too .
;camera	 general	 positive	but this camera is great !
;dial	 general	 negative	* main dial is not backlit .
