aspect term	category	polarity	text
;4mp	 camera	 positive	2 ) 4mp is about right for the target market of this camera ( semi - serious amateur photographer )
;camera	 camera	 positive	this camera is closest to perfect than any other digicam that is 4 - 5 megapixel .
;pictures	 picture	 positive	it takes great pictures .
;viewfinder	 camera	 negative	to address two previous somewhat negative reviews : ( 1 ) yes , the lens barrel does obstruct part of the lower left corner in the lens viewfinder ; however , the lcd viewfinder is rather stunning and i find myself rarely using the lens viewfinder .
;manual	 usability	 positive	the manual is easy to understand , and it is mostly idiot proof .
;camera;use;photos;price	 camera usability picture price	 positive positive positive positive	very comfortable camera , easy to use , and the best digital photos you ' re going to get at this price .
;casing	 weight	 negative	it had a heavier and more sturdy casing .
;camera	 camera	 positive	the functionality on this camera is mind - blowing .
;rechargable battery	 battery	 positive	comes with a 16 mb compact flash and one rechargable battery the charging unit , included , is fast and small .
;txt file	 camera	 positive	"i particularly like the "" txt "" file which records all the control information for all the pictures you take ."
;battery life	 battery	 positive	the battery life is very good , i got about 90 minutes with the lcd turned on all the time , the first time around , and i have been using it with the lcd off every now and then , and have yet needed to recharge it .
;null	 camera	 positive	seriously ! i love it !
;battery life	 battery	 positive	the battery life of this camera is twice that of the nikon 5000 and is better than anything else i ' ve seen .
;features;null	 camera size	 positive positive	ooh , and i dropped it and it still works fine : this little camera has so many features i have n ' t even gotten to all of them yet .
;camera	 camera	 positive	overall it is the best camera on the market .
;picture quality	 picture	 positive	i ' ve been pleased with the picture quality and durability in snow , car , boat and wind .
;flash photo;noise	 picture picture	 negative negative	well flash photos are never great , and there was still a lot of noise .
