aspect term	category	polarity	text
;exams	 exam	 negative	Tough truefalse exams.
;anectdotes	 teaching	 negative	I sit in the front row and try to pay full attention but half the time I'm so lost because most of his anectdotes are confusing and unhelpful.
;tests	 grading	 negative	Got 60's on first two tests.
;genetic test	 exam	 negative	Genetic test is the hardest.
;material	 teaching	 positive	Makes the material relevant and interesting.
;null;null	 exam attendance	 positive positive	She will tell u exactly what is on it if you ask her.she lets u out early!
;null	 teacher	 positive	She's really nice and helpful, but is extremely challenging.
;calc ii	 course	 neutral	Literally a sad excuse for calc II.
;null	 teacher	 positive	If you are interested in politics, you'll enjoy her classes.
;null;course;tests	 teacher course exam	 positive negative negative	i liked him a lot but the course was really boring... also the tests are insane and you realllly need to study.
;null	 teaching	 negative	He teaches you how things work when they are wrong, but doesn't explain how things work when it works correctly.
;null	 teacher	 positive	He's awesome.
;teaching style	 teaching	 positive	There are pros and cons to EVERY teaching style.
;null	 teacher	 positive	Kinda hot too...this guy can really pull off a mild, scruffy, bearded look.
;grading	 grading	 neutral	Grading was not that hard...however, she does grade papers like an English teacher.
;assignments	 exam	 positive	She is very helpful with assignments and understands that her class is not the most important one we are taking for the semester.
;null	 teaching	 positive	Very thorough and good at explaining things.
;professor	 teacher	 positive	Molumby was a fantastic professor who found ways to keep his students interested.
;writer;english major	 relevant relevant	 neutral neutral	if you want to become a writer or and english major than by all means take this class. 
;teacher	 teacher	 positive	He was a good teacher really into what he teaches.
;books	 knowledge	 positive	He is a beyond accomplished man with several published books to his name.
;teaching methods	 teaching	 neutral	Molumby is very non-traditional with his teaching methods to say the least.
;null	 teacher	 positive	He was definately my favorite.
;labs	 relevant	 negative	Some of the labs are equal to a joke.
;null	 teacher	 positive	Randy is amazing, he's considerate, funny and kind.
;lectures	 teaching	 negative	seems nice but lectures make no sense.
;readings	 teaching	 positive	The readings are interesting too!
;matierial;exams	 grading grading	 positive positive	If you do the matierial, even if you get D's on all exams, you can still get a B.
;null;lectures	 teacher teaching	 positive negative	He's a nice guy but his lectures are all over the place and he seems to not know what he's talking about.
;teacher	 teacher	 positive	BEST teacher i've ever had, dont take this class with anyone else!
;extra credit	 exam	 negative	There were only 2 chances to get extra credit and none of them were available past the midterm.
;professor	 teacher	 positive	He has been my favorite professor.
;null	 teacher	 positive	DEFN TAKE HIM.
;points	 grading	 neutral	I got the A by, literally, 4 points.
;grades	 grading	 positive	Not too hard to figure out what her politics are, but she grades fair.
;calc;class;null	 course course teaching	 positive positive negative	i took calc in hs, and like math, i found the class to be easy, but only cus i had an understanding in calc, i do not recomend cook and from what i heard about the other math teachers i dont recomend them either, cook is boring, old and doesnt teach, wish i could say something good, but nothing comes to mind
;students	 approachable	 positive	He really cares about his students and is willing to help bascially everything.
;attendance;topic	 exam exam	 negative negative	It was like he was testing us on our attendance instead of our understanding of the topic.
;exam	 exam	 positive	Only way you prepare for his exam is to go over many old ones.
;tests;multiple correct answers	 exam exam	 negative negative	His tests r annoying cause multiple correct answers.
;class	 attendance	 positive	You must go to class to have somewhat of an idea as to what's going on.
;grading	 grading	 negative	als TA Jenny M. Zambrano is tuff in grading.
;tests;quizzes;true/false;discussion assignments;response;facts	 exam exam exam exam exam exam	 neutral neutral neutral neutral neutral neutral	All the tests & Friday quizzes are multiple true/false & the discussion assignments are T/F & free response so you have to be able to understand concepts and ideas to do well in his class - not just facts.
;null;null	 teaching teacher	 positive positive	He's funny, smart, and LOVES to teach!
;null	 teacher	 positive	Overall he was  great.
;null	 teacher	 positive	Respect him and he will more than respect youback.
;null	 teacher	 positive	Makes jokes that only he finds funny.
;teachers	 teacher	 positive	wish my college had teachers like him.
;null	 teacher	 positive	She's funny too
;professor	 teacher	 positive	She is the best professor I have ever had.
;null	 teacher	 positive	SHE IS THAT GREAT!
;exams	 exam	 positive	He's a joker and a half and he tells you what will be on the exams.
;professor	 teacher	 positive	Awesome class, great professor.
;null	 teacher	 positive	i would def take him again
;professor	 teacher	 negative	Allan is one of the weirdest most out of this world professor.
;powerpoints;examples	 teaching teaching	 neutral neutral	His powerpoints are LONG so be prepared to write and do all the examples he gives.
;class;exams	 attendance attendance	 neutral neutral	You need to go to class, but as long as you do, you will do well on the exams.
;null;extra credit	 teacher exam	 positive positive	He is very clear and organized and offers lots of extra credit.
;material;class	 teaching teaching	 neutral positive	the material itself isn't very interesting, but he made it fun and i actually looked forward to going to his class in the morning.
;teacher;null;questions	 teacher teaching answering	 negative negative negative	this teacher is horible... he stands in front of class and talks for an hour and lookes up at the end of class and asks if anyone has questions and then doesent answer them... he told a student who had a low D that he shouldent drop the corse (this is a few days b4 the late drop period) and said he would be fine...
;tests;lectures	 exam teaching	 negative negative	The tests are not based on the powerpoints, and he goes on rants during lectures.
;null	 teacher	 positive	Molumby is the man!
;exams	 exam	 neutral	P.S dont practice the exams he posts on bb.
;null	 relevant	 negative	He teaches Math 128 as if it was Math 132.
;teacher;problem sets	 teacher relevant	 positive positive	Mehran is an excellent teacher, and his problem sets are designed to retain knowledge.
;angel notes;exam	 exam exam	 neutral positive	study the ANGEL notes for the exam and you'll be fine.
;null	 teaching	 neutral	If it's hard to hear him, just sit closer.
;wording	 exam	 negative	The wording can be very tricky, he likes to combine many things.
;subject	 teaching	 negative	He seems like his passion for the subject is gone because he does not motivate you to learn.
;mathmatics	 teaching	 negative	His job is to teach mathmatics not to hold your hand.
;lab;test	 course exam	 neutral positive	if you read the text and do well in lab, you could get by w/o goin to lecture, but you would be doing yourself a disservice...plus, some of the test is from the lecture.
;pop quizzes;exams;quizzes	 exam exam exam	 neutral neutral neutral	He does give pop quizzes occasionally but if you do well enough on the exams you can afford to miss the quizzes and still do well in the class.
;personality	 teacher	 positive	He is helpful when needed and has a great personality.
;absences	 attendance	 positive	You're allowed 3 absences but once you meet him you'll never want to miss class.
;null	 teacher	 negative	She is not always organized but she is laid back.
;exams;questions	 exam exam	 neutral neutral	He DOESN'T use the old questions from old exams.
;null	 teaching	 negative	Couldnt get myself to focus on what he was talking about
;discussion	 answering	 positive	Attend class and participate in discussion and she will like you.
;insects	 teacher	 positive	He's a bit of a nut with insects, but it's interesting.
;null	 grading	 neutral	I skipped lectures and slept in class and passed with a B.
;class	 teaching	 positive	Makes class fun.
;iclicker pts	 attendance	 neutral	Come to class n get iclicker pts.
;class	 course	 positive	Although his class is somewhat difficult, it is not one to pass up!
;null	 teacher	 positive	Dr. Molumby made this class very interesting.
;tests	 exam	 negative	However, his tests suck!!
;math	 teaching	 neutral	Math was always fun and enjoyable for me until this guy.
;professor	 teacher	 positive	Good professor!
;stuff	 knowledge	 negative	I dont think she even understood half the stuff she was saying and most of it was B.S.
;grading policy;semester	 grading grading	 positive positive	He activly changed the grading policy through the semester so it was easier to get a better grade.
;interest;students	 approachable approachable	 positive positive	He has a deep and genuine interest in helping out his students.
;null;exams	 approachable exam	 positive negative	I liked him alot, he was very approachable and everything was easy except for the exams.
;null	 knowledge	 positive	He's an incredibly intelligent person.
;lectures	 teaching	 positive	he made it easy to listen to his lectures-i actually paid attention.
;lecturer	 teacher	 positive	He was a really great lecturer, I missed like one class and I regret doing that because he always had something cool to say.
;tests	 exam	 negative	The tests are hard, and they test the minituae of the lecture.
;null+;null	 attendance grading	 neutral neutral	I never went.. i got a C+.
;lecture;class;office;wikipedia;email question;bio professor;test	 teaching approachable approachable approachable answering teacher exam	 negative negative negative negative negative negative negative	he think he is darwin or sth,,,clearly he is just focusing on lecture.. he is not willing to help you outside of class for example, not answering email question, during office visit told student look up wikipedia with question... what a awesome bio professor i would try avoid his class his test is tricky too
;null	 teacher	 positive	He is respectable has a great sense of humor overall nice guy.
;null;null	 grading grading	 positive negative	never got above a 65 percent in the class but with lab and lecture points got a B.
;grades;presentations;lab reports	 grading grading grading	 negative negative negative	I really thought I could get an A because I worked hard and got really good grades on presentations and lab reports, but no.
;challenge	 course	 positive	Though the class is a challenge, it's a college bio class that can be expected!
;calc 2	 course	 negative	Calc 2 is not an easy subject therefore it is important to look for extra help.
;material;notes;class;office hours;help	 teaching teaching teaching approachable approachable	 neutral neutral neutral neutral neutral	If you work hard, read all the material, pay attention and take notes during class, and see him during office hours when you need help, you will do well.
;syllabus	 course	 negative	I took this class online and was at first very intimidated by the syllabus.
;exams	 exam	 negative	Exams are super hard!!
;null	 teacher	 negative	Worst professor ever.
;null	 teacher	 positive	I love her!
;ppts	 teaching	 negative	And yes, you'll need to study EVERY SINGLE DETAIL of his ppts.
;null	 teacher	 neutral	You'll get lost if you don't remember what something means.
;null	 teacher	 negative	He's arrogant.
;project	 exam	 neutral	Completely project-based. 
;answer;misspelling	 grading grading	 negative negative	He does not count an answer with a misspelling.  
;null	 teacher	 positive	Awesome guy.
;professor;stuff	 teacher knowledge	 positive positive	Professor Capelotti is a great professor who knows his stuff, and isn't afraid to show it.
;null	 teacher	 negative	If it wasn't a required course, I would avoid him.
;grade	 grading	 positive	Easy to get a good grade in his class.
;exams	 exam	 negative	The cons were that his courses were interesting, but hard to prepare for the exams.
;null	 teaching	 negative	rambles and goes off topic.
;null	 teacher	 negative	That being said, conservatives should try to avoid her classes because although she claims she doesn't opine, she does.
;class	 course	 positive	this class is not hard.
;ap bio	 course	 negative	Took AP Bio but still struggling because AP bio wasn't close to as in depth as he is right off the bat.
;class	 teacher	 positive	If she teaches any other course in the future, I won't doubt to take her class...
;teacher	 teacher	 positive	She is the absolute best teacher in the Crim department.
;group presentations	 exam	 neutral	Group presentations were horrible considering my group didn't do anything at all.
;null	 teaching	 negative	he doesn't show you how to apply anything, and what he does teach he teaches in the most round about and confusing way possible.
;professor	 teacher	 positive	Wonderful professor.
;discussion	 answering	 positive	She focused on main events and really engaged the class in discussion.
;material	 course	 positive	Material wise, it's a very easy class, it's like high school bio
;null	 teacher	 positive	EXTREMLY NICE PERSON
;professor	 teacher	 positive	He is one of the best professor i have ever seen in my life .
;teacher	 teacher	 positive	Respectable teacher.
;test;classes;notes	 exam attendance exam	 neutral neutral neutral	If you do poorly on one test you're basically in trouble so make sure you don't skip any classes, take notes, and study.
;null	 teacher	 positive	I love Mr.Sahami, you changed my life.
;sense of humor	 answering	 positive	He comes off as a jerk, but that's just his sense of humor.
;null	 teacher	 positive	Extremely funny and won't fail to make you laugh every class.
;null	 teacher	 positive	I had sevral Anth classes with him and he was excellent in each one and very helpful.
;review sessions	 approachable	 positive	Go to TA led review sessions--they will save you!
;null	 teacher	 positive	she is awesome and i would reccommend her to anyone even if you dont like sociology.
;class;exams	 teacher exam	 positive negative	Overall his class is good, his exams are just really difficult. 
;comp sci	 relevant	 positive	Now I can say I UNDERSTAND Comp Sci!
;null	 teacher	 positive	IT WAS A TRUE PLEASURE TO BE IN HER CLASS
;class	 teaching	 positive	He did have good stories and class was interesting, when I went.
;high school	 teaching	 positive	Taught the course better than my AP Biology teacher from high school.
;concepts;topics	 teaching teaching	 negative negative	He tends to repeat the same concepts over and over, but tends to jump to other topics partway through.
;professors	 teacher	 positive	one of my favorite professors
;null	 knowledge	 positive	Mr. Everett is extremely passionate and knowledgeable about what he does and just wants the students to do their part to make the class a success.
;prof;null	 teacher teaching	 negative negative	he is a horrible prof. we can barely hear him.
;professor	 teacher	 positive	A true, genuine professor who yearns to inspire you, as long as, you're willing to be mentally challenged and learn more about yourself and other cultures.
;null	 grading	 positive	He's empathetic about the grading.
;help	 approachable	 negative	He is n help, so if you can't teach yourself you WILL fail
;class	 teacher	 negative	did not fare well in his class
;teachers	 teacher	 positive	William Seigh is one of the greatest teachers i've ever had, In and out of the classroom.
;professor	 teacher	 positive	Capelotti is not only an excellent professor, but a really awesome person as well.
;null	 grading	 positive	Also, it's not super clear what he's looking for, but he grades generously (we think).
;ta;si sessions	 approachable approachable	 positive positive	If you get Felipe as TA, it is HIGHLY recommended that you go to his SI sessions, especially 2 or 1 days before an exam.
;questions;exam;lecture	 exam exam exam	 neutral neutral neutral	One or two questions on exam is from lecture.
;null	 teacher	 positive	He's awesome.
;professor	 teacher	 positive	Best professor ever!
;class	 approachable	 negative	Very condescending and rude if you ask for help outside of class.
;null	 teacher	 negative	I seriously warn you if u decide to take him.
;null	 teacher	 positive	Friendly and energetic.
;professor	 teacher	 positive	Just a great professor all around.
;bio 101;homeostasis	 teacher teacher	 negative positive	From what I understand Molumby is pretty difficult in the BIO 101 class but I highly reccommend him for Homeostasis!
;exam;quizzes	 exam exam	 negative negative	his second exam and quizzes dont get much easier.
;essays;grammar;directions	 exam exam exam	 neutral neutral neutral	There are four main essays in which he is a stickler for grammar but as long as you follow directions you'll be fine.
;exams	 exam	 negative	But first three exams are nothing like what he teaches you.
;prof;exams;effort;null;class;prof	 teacher exam grading relevant course teacher	 positive negative neutral positive positive positive	He's really cool.His research w/ bees &  wasps is pretty awesome too.He also collects mutant cats.His exams are hard and I have no advice on how to study for them.I have an A in his class, but the amount of effort that you have to put in just for a low A is quite a bit.Although his class is tough, it prepares you for other classes.Good prof overall.
;e-mails;cryptic messages	 answering answering	 negative negative	He doesn't answer e-mails correctly but simply replies with cryptic messages.
;null	 teacher	 negative	She's very bias towards the Political Science students.
;class	 course	 positive	But overall, great class.
;lectures;owls;test	 exam exam exam	 negative negative negative	The lectures, OWLs, won't prepare you for the test.
;math department;professor	 teacher teacher	 negative negative	I wonder how the math department could hire such crappy professor.
;help center	 teaching	 negative	If you take his class get ready to spend hours in the help center in Lederle and the LRC.
;lectures;chapters	 exam exam	 negative negative	Memorize the lectures &  read the chapters if you want to do well.
;null;material	 approachable teaching	 positive positive	He's an extremely helpful, friendly professor who is deeply passionate about the material, so of course he wants to go into detail.
;tests;practice exam	 exam exam	 positive positive	One of our tests was the practice exam.
;teacher;lectures	 teacher teaching	 positive negative	Molumby is  a great teacher Cons: He doesnt speak into the mic so it can get hard to listen to his lectures occasionally.
;notes;sources	 teaching teaching	 negative negative	Need good notes and studying a lot from alternative sources than himself.
;paper;presentation;exams;journals	 exam exam exam exam	 positive positive positive positive	Unlimited paper, presentation, 2 exams (15%) & journals.
;professor	 teacher	 positive	Fantastic professor and truly cares about his students.
;exams;diagrams	 exam exam	 positive positive	All exams include diagrams so you don't need to memorize.
;test questions;notes sets	 exam relevant	 positive positive	He uses notes sets that are very concise and his test questions come straight from them so no surprises and makes challenging material easier
;professors	 teacher	 negative	Hands down, one of the worst professors I've had in my college career &  I wanted so badly to like him.
;movies	 teaching	 positive	BTW, stay for the movies; they're good thou they're old
;exams	 exam	 negative	even then his exams are rediculously difficult.
;comp sci	 teacher	 positive	If you are a Comp Sci major, all he will do is make fun of you.
;null	 teacher	 positive	laid back and really relates to the students.
;class	 teacher	 positive	Take this class with him, you wont regret it.
;lectures;exams;slides	 attendance exam exam	 positive positive positive	His exams were not impossible, but attending lectures and reading his slides will really help.
;null	 teacher	 positive	Take her!!!
;null	 teacher	 positive	Schurter is the man!
;information	 teaching	 negative	He sometimes throws some random information at you.
;professor	 teacher	 positive	By far my favorite professor.
;teacher	 teacher	 positive	Nancy isn't a bad teacher at all.
;exams;final	 exam exam	 positive positive	3 exams and a final that's it.
;null;material	 exam teaching	 negative neutral	Material not that hard, but the way it was tested, pretty tough indeed.
;null	 teacher	 positive	Definitely recommend taking, he is a great guy. 
;professor	 teacher	 negative	He is by FAR the WORST professor in UMASS.
;null	 knowledge	 positive	She is very personable and she knows her Crim!
;videos;class;stories	 teaching teaching teaching	 positive positive positive	Sometimes shows sick/gruesome videos in class and has great stories.
;lectures	 teaching	 neutral	Record his lectures or write everything he says.
;class	 teacher	 positive	Interesting in class.
;test taker	 exam	 neutral	if you aren't a good test taker maybe this isn't the class for you.
;tests;study guide;questions	 exam exam exam	 positive positive positive	His tests are straight from the study guide, maybe one or two questions from the book.
;grade	 grading	 neutral	Grade is majorly your test avg.
;null	 knowledge	 positive	He knows what hes talking about however.
;lecture;discussion;assignments	 course answering exam	 neutral neutral neutral	If you pay attention in lecture, discussion, and keep up with the assignments you'll pass no problem.
;attendance;test	 attendance exam	 negative neutral	attendance is mandatory but i did not see the point of going to his class because the test is made up of everything that's in the book.
;class	 course	 positive	this was the greatest class I have ever take at abington.
;null	 teacher	 positive	She is fun, crazy, and down to Earth.
;null	 grading	 negative	I    spoke everyday AND helped her correctly teach about the Iowa Caucuses and she didn't give me an A.
;null	 teacher	 positive	He's humble and also a great resource.
;professor	 teacher	 negative	Bad Professor.
;book	 teaching	 negative	If you do take it, buy the book and teach yourself.
;lectures	 relevant	 positive	his lectures made my first year so much easier.
;professor	 teacher	 positive	Great Professor.
;null	 teacher	 positive	Mehran is awesome!
;lecture ppts;exams	 teaching exam	 negative negative	His lecture ppts were impossibly long and you need to memorize every single word basically since he asks about weird details in his exams.
;lectures	 teaching	 positive	His lectures are more entertaining than Murray.
;class	 teaching	 positive	Knows how to keep a class interested.
;teacher;class	 teacher course	 positive negative	Good teacher, but very tough class!
;instructor	 teacher	 positive	Prof Christopher is the funniest and most personable instructor I have ever had.
;grades	 grading	 negative	My God, where do I begin?  She grades like it's a level three political science course.
;teacher	 teacher	 positive	excellent teacher
;owls	 exam	 neutral	dont bother with class, just do the owls
;class;office hours	 approachable approachable	 positive positive	I missed two weeks of class due to injury (concussion) and he stayed hours after his office hours ended on multiple Fridays to help me catch up.
;null	 teacher	 negative	He is extremely bias on the topic, don't take this class with him.
;null	 teacher	 positive	TAKE HER I HIGHLY RECOMMEND TO EVERYONE.
;tutor	 approachable	 negative	Get a tutor and youll be allset.
;cs106a lectures;professor	 teacher teacher	 positive positive	I stumbled upon the CS106A lectures on iTunes U and found that professor Mehran Sahami really teaches brilliantly!
;null;null	 teacher teaching	 positive positive	She is funny and brilliant which made the class fun and interesting.
;math	 teaching	 neutral	He could improve if he solves more math than talk about it.I suggest he should come to class if he cant speak and stop using sign language.
;class	 attendance	 positive	I did not mind going to this class.
;tests	 exam	 positive	Much better class than math 127 and much clearer tests.
;class;lecture handouts;null;null	 course teaching teacher approachable	 positive negative positive positive	Excellent class, recommend to everyone, so easy, lecture handouts hard to print from the internet (he does this on purpose so you'll attend class), but a great guy, funny and a big help when you need him.
;biology	 teacher	 negative	Randall Phillis destroyed any love I had for biology.
;class;null	 course grading	 neutral positive	"The class is ""hard"" if one is not particularly skilled in writing, but Mr. Everett grades VERY fairly."
;sound system;lecture hall	 class class	 negative negative	The sound system in the lecture hall did not support the size and it was hard to hear.
;lectures;exams	 teaching exam	 positive negative	He lectures off of his power points but his exams [recycled] are TRICKY.
;lecturer	 knowledge	 positive	If you're looking for any EXTREMELY knowledgeable and enthusiastic lecturer - take this class!
;lectures	 teaching	 negative	Tried to pay attention to his lectures and I have yet to learn a single thing from this dude.
;professors	 teacher	 positive	Professor Everett was one of the most passionate professors I have ever seen and that was only after an online class.
;null	 teacher	 positive	i love his stories and how punk rock he is.
;null	 teacher	 positive	He re-engineered our interests in CS again.
;null	 teacher	 positive	He's super cool and I really did like him.
;null	 grading	 negative	Getting an A in his class is not easy though.
;individual	 teacher	 positive	This guy is definately a unique individual.
;professor;exams	 teacher exam	 positive negative	Dr. Molumby if you're reading this - you are awesome professor, but those exams...not so awesome!
;exam qustions	 exam	 negative	Exam questions are unclear, making you second guess everything you think you knew.
;person	 teacher	 positive	:) great person :)
;professor;luctuer	 teacher teaching	 positive positive	Molumby is good professor, he is funny in luctuer.
;tests;lectures;class	 exam teaching teacher	 negative negative positive	His tests are tough and his lectures can be confusing because he never really answers his own questions but its a great class.
;tests;lab;class;null	 exam course course teacher	 neutral negative negative positive	Study hard for the tests, tough class, lab sucks, but the teach and TAs were awesome.
;lecturer;stuff	 teacher knowledge	 positive positive	Awesome lecturer who knows his stuff.
;lecture	 teaching	 positive	But still a guy that keeps the lecture lively.
;teacher	 teacher	 positive	He is a great dance teacher.
;prof	 teacher	 positive	... never had a better prof...
;professor;society	 teacher teaching	 positive positive	She's a great professor, teaches you how it REALLY is, not the way society wants you to see the world.
;teacher	 teacher	 positive	very Awesome.....teacher..i hv ever seen........
;null	 course	 positive	Easiest A ever!
;null	 teacher	 positive	This guy was freakin amazing.
;clicker questions	 teaching	 positive	Clicker questions in class are the key.
;test;information;professor	 exam exam teacher	 positive positive positive	His test are difficult but if you study and read all of the information you should be fine!My favorite professor thus far!
;section	 grading	 positive	he curved our section by ~4%.
;mistakes	 grading	 neutral	If he knows you put your all into it, he will overlook small mistakes.
;class	 course	 negative	Tough class.
;power point	 teaching	 negative	His death by power point is useless and not helpful at all.
;topic	 teaching	 negative	During class time, there is a lot to go over but he gets off topic.
;fun facts;questions	 exam exam	 negative negative	If you like unpredictable tests with fun facts, literally fun facts as the questions, hes your guy.
;computer	 knowledge	 negative	im pretty sure thurlow doesnt know how to even use a computer.
;questions	 answering	 positive	I'm not afraid to ask him questions!
;office	 approachable	 positive	Shes my best friend :) Spent most time in her office just talking haha.
;teacher;test;null	 teaching exam late	 negative negative negative	he is a horrible teacher...he knows the information but doesnt clarify it, never organized, always late, the test are WICKED HARD and TRICKY!!
;class	 teaching	 positive	Class is always interesting and never boring.
;class	 teaching	 positive	His personality makes the class enjoyable, and he made it easy for me to take an interest and really pay attention to the material.
;hw;grade	 exam grading	 neutral neutral	Do the hw to boost your grade.
;final	 exam	 positive	The optional final was easy but mainly conceptual as opposed to specific examples.
;professors	 approachable	 negative	Most unhelpful professors I've encountered.
;labs;clicker points	 course course	 positive positive	Labs and clicker points are easy.
;teacher	 teacher	 positive	best teacher of computer sciences i have ever taught by,
;teaching method	 teaching	 positive	Easy to understand teaching method.
;null	 teacher	 negative	She boasts about her doctorate in political science, too.
;review sessions;si	 approachable approachable	 positive positive	If you go to his review sessions and tot SI, you will be successful.
;null	 teacher	 negative	He needs to act a little more professional and quite acting like a immature college punk!
;class	 course	 negative	Don't take this class with a full (12cr+) load.
;essays	 exam	 negative	He puts stipulations on essays that are RIDICULOUS!
;null	 teacher	 positive	You rock Kelley!
;teacher	 teacher	 negative	Worst teacher...Avoid her at all costs!
;exams;book;power points	 exam exam exam	 negative neutral neutral	Come on give us some break...you made 2 exams difficult, make this one reasonable....For other students reading this, read the book, it helps but really study his power points!
;final exam	 attendance	 neutral	DO NOT skip class because you wont pass the final exam.
;review sessions;details	 approachable approachable	 positive positive	He holds review sessions every week which really helps clearing up small details that he just mentions in class.
;door	 approachable	 positive	His door is always open for people who want to learn.
;lectures	 teaching	 positive	Her lectures are great.
;null	 approachable	 positive	Very helpful and easily approachable.
;null	 teacher	 positive	Deff take him
;null	 course	 negative	it was difficult.
;lectures	 teaching	 negative	He is not clear in his lectures.
;classes;course	 course course	 positive positive	His classes are usualy not easy, but that's the nature of the course and not his fault.
;exams;null	 exam exam	 negative negative	"Oh yeah and the exams are based on made up crap he calls to be his ""reasoning"" which ends up swelling our brains as logic starts fighting with us."
;homework;presentations	 exam exam	 negative negative	There's a lot of homework and two presentations.
;teaching	 teaching	 negative	Cook is a nice and funny guy, but his teaching can come up a little short.
;tests;slides	 exam exam	 negative negative	For tests, he expects you to know every single example on his 200+ slides.
;null	 grading	 negative	At one point, both of the 21's were talking about what to do because everyone was failing.
;null	 teacher	 negative	Horrible nightmare !
;lecture style;extra credit	 teaching exam	 positive positive	He teaches lecture style and he offers extra credit.
;practice exams;test	 exam exam	 neutral neutral	Get a hold of recent practice exams, because his old ones are nothing like the actual test.
;teachers	 teacher	 positive	One of the best teachers I've had at UWG.
;exams;true/false	 exam exam	 positive positive	Kind of funny, exams are multiple true/false.
;null	 teacher	 negative	VERY LIBERAL!
;null	 teacher	 positive	She always smells of versace and intelligence!
;course	 teaching	 neutral	If you do not want to spend time in extra help, do not take the course with him.
;lectures;student participation	 teaching answering	 positive positive	He keeps lectures interesting and encourages student participation without being condescending.
;professor	 teacher	 positive	Professor Schurter is by far the best professor I've had at UMass.
;mic;information	 teaching teaching	 negative negative	not only does he refuse to use the mic, he always mumble useless information.
;null	 teaching	 negative	So hard to follow.
;multiple choice	 exam	 positive	Their multiple choice!
;test	 exam	 negative	STAY AWAY FROM THIS CLASS TEST ARE SUPER HARD!
;null	 teacher	 positive	She is very personable, interesting, and brilliant.
;lectures	 teaching	 negative	Never got anything out of his lectures.
;null	 late	 negative	Hates cell phones, yet comes to class 10 minutes late EVERY time.
;null	 teacher	 positive	She really wants student to do well.
;null	 teacher	 positive	That being said, he's a very cool teacher/ guy/ dude.
;null	 teacher	 negative	AVOID HIM
;lecture	 teaching	 positive	One of  the most impressive lecture at Stanford.
;biology	 teacher	 positive	You could tell he is very into biology and has a passion for it.
;power points;slides	 teaching teaching	 negative negative	His power points are 200 slides per topic!!!
;teacher	 teacher	 positive	overall though, fabulous teacher.
;office hours	 approachable	 positive	Visit him during office hours and he will clear up literally everything for you, as well as make you laugh.
;null	 teacher	 positive	he's good and good looking.
;notes;test	 exam exam	 positive positive	Take good notes during lecture, you can honestly pass the test just off of this.
;workload;exam	 course exam	 negative negative	The workload in this class was moderately heavy, and the exam is tough.
;professor	 teacher	 positive	He's a pretty cool professor and you don't have to worry about falling asleep in this class.
;material	 teaching	 negative	He covers the same material for about 3 weeks straight.
;professor	 teacher	 positive	A good professor who has good intentions.
;null	 teaching	 positive	Plus he's really engaging.
;lectures	 teaching	 positive	Great lectures.
;genetics test	 exam	 negative	His genetics test was really hard and he even admitted that.
;math	 teacher	 negative	Don't take this teacher if you don't understand math.
;exams;slides;lecture notes	 exam relevant relevant	 negative negative negative	His exams are extremely hard and don't relate to his online slides or lecture notes.
;material	 teaching	 positive	He knows the material, he just teaches it different then the other teachers.
;null	 grading	 positive	like a 73.5% is a B
;null;null	 teacher approachable	 positive positive	I really liked her, she was so nice, and helpful.I did very well in her class and she got me intrested in the subject.
;null	 teacher	 positive	I really enjoyed this class; needless to say I had almost no interest in ecology before Dr. Molumby.
;professor	 teacher	 positive	BEST professor at UWG
;teacher	 teacher	 positive	He is a great teacher and he is sexy!
;null;review session;study guide	 exam approachable teaching	 negative positive positive	They're too hard :( But the review session and study guide was extremely useful!
;null	 teacher	 positive	Can be funny at times
;null	 relevant	 negative	THEY ARE NOT MEASURING WHAT IT NEEDS TO MESASURE.
;null	 grading	 positive	She will not let you fail if you try.
;college	 course	 positive	Yes, it's hard but that's college.
;teacher	 teacher	 positive	Great teacher but do not take this class if you do not like to read or write.
;null	 teacher	 positive	She can be sarcastic but it's funny.
;grade;null	 grading teacher	 neutral neutral	He is very enthusiastic about this class but expects you to earn your grade.
;null	 approachable	 negative	He refuses to help when I ask and i've asked multiple times
;teacher	 teacher	 positive	A great teacher!!
;course	 course	 positive	very organized course and easy to navigate.
;null	 answering	 positive	She struggles to answer questions clearly or even fully.
;students	 teaching	 positive	He also educates his students on how to be good people.
;null	 relevant	 positive	I learned so much and wash challenged in the best ways possible.
;null	 teacher	 negative	He gets fustrated when you analyze a piece of work differently from how he analyzes it.
;teacher;formulas	 teacher teaching	 negative negative	the worst teacher ever, who cares about how the formulas were developed..
;grade	 grading	 negative	Your grade truly depends on the TA.
;null	 teacher	 positive	Love her.
;null	 teaching	 negative	She basically reads from the overhead for notes.
;office hours	 approachable	 positive	Go to his office hours.
;lecture notes	 teaching	 positive	Nice lecture notes, good at explaining.
;null	 teacher	 positive	Randy is hilarious and a really nice guy.
;null	 teacher	 positive	Definitely keeps your interest, pretty funny guy.
;off topic;cell phones;calculators	 teaching teaching teaching	 negative negative negative	He goes off topic a lot to complain about cell phones and calculators.
;class	 teacher	 positive	I loved Randy's bio 151 class this  year.
;null	 teacher	 positive	She comes through on her part and she expects you to do the same as well.
;teacher	 teacher	 positive	Good teacher that means well but you better be ready to read the text if you want an A
;calc	 teaching	 negative	I hate Calc... and prof cook makes it even more confusing..talks like you know what he s talking about
;exams	 exam	 negative	As everyone said, exams are just way too tricky.
;essays	 exam	 neutral	I warn you though, he loves essays!
